Source;Target;Weight;Type
347;95;1;undirected
100;284;3;undirected
101;29;1;undirected
101;114;1;undirected
104;10;1;undirected
32;84;1;undirected
32;2;1;undirected
36;67;1;undirected
99;1;1;undirected
91;65;1;undirected
93;223;2;undirected
95;347;1;undirected
1;99;1;undirected
20;15;1;undirected
20;83;1;undirected
29;101;1;undirected
89;49;1;undirected
82;61;1;undirected
84;32;1;undirected
84;2;1;undirected
180;60;1;undirected
2;32;1;undirected
2;84;1;undirected
11;127;1;undirected
11;9;2;undirected
10;104;1;undirected
12;120;1;undirected
12;49;1;undirected
12;43;1;undirected
15;20;1;undirected
15;83;1;undirected
18;56;1;undirected
72;260;1;undirected
78;121;1;undirected
120;12;1;undirected
120;118;1;undirected
121;78;1;undirected
127;11;1;undirected
60;180;1;undirected
61;82;1;undirected
63;111;1;undirected
65;91;1;undirected
66;46;1;undirected
67;36;1;undirected
68;288;1;undirected
9;11;2;undirected
288;68;1;undirected
284;100;3;undirected
260;72;1;undirected
56;18;1;undirected
51;119;1;undirected
114;101;1;undirected
111;63;1;undirected
119;51;1;undirected
118;120;1;undirected
223;93;2;undirected
83;20;1;undirected
83;15;1;undirected
49;89;1;undirected
49;12;1;undirected
49;43;1;undirected
46;66;1;undirected
43;12;1;undirected
43;49;1;undirected
